trip_year,trip_month,pickup_hour,total_trips,avg_fare,avg_distance
2025,3,19,196546,17.34902190835746,3.123614624566264
2025,3,9,131465,17.845427756437168,3.0005679078081537
2025,3,10,142195,18.257625303280843,3.7488718309363875
2007,12,18,1,17.0,3.0
2025,3,15,194265,20.45709149872603,3.488061153578888
2025,2,23,96877,19.226405648399595,3.7353100323090236
2025,3,1,56340,17.56492847000358,3.3538725594604255
2025,3,13,174879,19.099157131502416,3.193396233967479
2025,3,6,37819,23.15042518310898,4.954903355456261
2025,3,12,166198,18.867861105428588,3.1448185898747014
2025,3,23,116930,19.75417078594026,3.8618872829898296
2009,1,0,1,52.7,10.77
2025,3,22,163633,18.8021141212347,3.5337122096398614
2025,2,22,132801,18.240240886740295,3.3900259034194002
2025,3,3,24391,17.147759419458,3.2660879012750574
2025,3,16,199877,20.027737958844885,3.422814881151921
2025,3,7,77546,19.170369844995125,3.682056456812725
2025,3,0,85583,19.76924038652531,3.8677204585022724
2025,3,20,185954,17.56829070630381,3.424937726534514
2025,3,4,16225,23.212303235747285,4.753982742681039
2025,3,18,223975,17.206915414666966,2.9234559660676336
2025,3,11,153623,18.30910807626463,3.282370022717948
2025,3,21,185972,18.015244391628908,3.357219742756979
2025,3,17,217560,18.53896281485565,3.1118825151682312
2025,3,14,187206,20.316297340897194,3.4939889212952817
2025,3,2,33590,16.621294432866986,3.10763114022031
2025,3,5,17179,28.064826241341137,6.236510274171948
2025,3,8,111974,17.61188356225549,3.6760919499169598
2025,4,0,2,31.7,7.04
2025,2,19,169904,17.05722884687814,2.9905112298709886
2025,2,12,145857,17.47301514497081,2.9624288858265255
2025,2,3,18423,16.535206535309122,3.113918471475866
2025,2,1,41944,16.600684960900175,3.1038520408163124
2025,2,21,156392,17.801036689856318,3.2546753030845643
2025,2,2,28864,15.48778409090909,2.8236415604212795
2025,1,22,2,8.95,1.165
2025,2,16,174893,18.747848227201803,3.2202923501798146
2025,2,18,195874,16.384041271429595,2.6756206030407372
2025,2,10,125312,17.185905021067363,2.8462667581715944
2025,2,20,156248,17.421486739030332,3.1502741155086915
2025,2,5,13903,27.317043084226455,6.135600230166146
2025,2,4,11999,22.202202683556962,4.591221768480707
2025,2,0,64050,18.540269476971115,3.607468071818889
2025,2,14,163003,18.972905958786022,3.2383164727029294
2025,1,23,28,20.31071428571429,3.985357142857143
2025,2,9,115607,16.85719065454517,2.784196545191906
2025,2,11,133814,17.214104577996387,2.8201730760608115
2025,2,7,69369,18.047939857861472,3.3693002638066054
2025,2,13,152211,17.99913133741977,3.0233410200313973
2025,2,17,191126,18.149523455730794,2.9068281133911658
2025,2,15,171364,18.748154046357612,3.18414229359724
2025,2,6,32637,21.275288169868542,4.4840558262095
2025,2,8,98754,16.911604188184786,2.9246142941045576
,,,1004052,18.469199115187354,3.3359661850181137
